Itération 900, nodeeco: 623
Itération 899, nodeeco: 612
Itération 898, nodeeco: 590
Itération 897, nodeeco: 621
Itération 896, nodeeco: 635
Itération 895, nodeeco: 588
Itération 894, nodeeco: 615
Itération 893, nodeeco: 598
Itération 892, nodeeco: 610
Itération 891, nodeeco: 599
Itération 890, nodeeco: 595
Itération 889, nodeeco: 574
Itération 888, nodeeco: 623
Itération 887, nodeeco: 601
Itération 886, nodeeco: 601
Itération 885, nodeeco: 619
Itération 884, nodeeco: 610
Itération 883, nodeeco: 578
Itération 882, nodeeco: 617
Itération 881, nodeeco: 603
Itération 880, nodeeco: 587
Itération 879, nodeeco: 582
Itération 878, nodeeco: 583
Itération 877, nodeeco: 591
Itération 876, nodeeco: 598
Itération 875, nodeeco: 550
Itération 874, nodeeco: 578
Itération 873, nodeeco: 597
Itération 872, nodeeco: 604
Itération 871, nodeeco: 580
Itération 870, nodeeco: 602
Itération 869, nodeeco: 596
Itération 868, nodeeco: 615
Itération 867, nodeeco: 611
Itération 866, nodeeco: 576
Itération 865, nodeeco: 569
Itération 864, nodeeco: 611
Itération 863, nodeeco: 572
Itération 862, nodeeco: 554
Itération 861, nodeeco: 597
Itération 860, nodeeco: 569
Itération 859, nodeeco: 588
Itération 858, nodeeco: 573
Itération 857, nodeeco: 580
Itération 856, nodeeco: 587
Itération 855, nodeeco: 569
Itération 854, nodeeco: 588
Itération 853, nodeeco: 581
Itération 852, nodeeco: 562
Itération 851, nodeeco: 582
Itération 850, nodeeco: 589
Itération 849, nodeeco: 553
Itération 848, nodeeco: 568
Itération 847, nodeeco: 567
Itération 846, nodeeco: 551
Itération 845, nodeeco: 588
Itération 844, nodeeco: 544
Itération 843, nodeeco: 582
Itération 842, nodeeco: 578
Itération 841, nodeeco: 587
Itération 840, nodeeco: 559
Itération 839, nodeeco: 578
Itération 838, nodeeco: 569
Itération 837, nodeeco: 580
Itération 836, nodeeco: 573
Itération 835, nodeeco: 606
Itération 834, nodeeco: 563
Itération 833, nodeeco: 592
Itération 832, nodeeco: 575
Itération 831, nodeeco: 577
Itération 830, nodeeco: 562
Itération 829, nodeeco: 538
Itération 828, nodeeco: 563
Itération 827, nodeeco: 536
Itération 826, nodeeco: 546
Itération 825, nodeeco: 546
Itération 824, nodeeco: 554
Itération 823, nodeeco: 526
Itération 822, nodeeco: 537
Itération 821, nodeeco: 574
Itération 820, nodeeco: 542
Itération 819, nodeeco: 529
Itération 818, nodeeco: 521
Itération 817, nodeeco: 542
Itération 816, nodeeco: 548
Itération 815, nodeeco: 554
Itération 814, nodeeco: 562
Itération 813, nodeeco: 563
Itération 812, nodeeco: 556
Itération 811, nodeeco: 546
Itération 810, nodeeco: 521
Itération 809, nodeeco: 537
Itération 808, nodeeco: 560
Itération 807, nodeeco: 561
Itération 806, nodeeco: 534
Itération 805, nodeeco: 547
Itération 804, nodeeco: 545
Itération 803, nodeeco: 539
Itération 802, nodeeco: 541
Itération 801, nodeeco: 556
Itération 800, nodeeco: 554
Itération 799, nodeeco: 568
Itération 798, nodeeco: 494
Itération 797, nodeeco: 532
Itération 796, nodeeco: 537
Itération 795, nodeeco: 535
Itération 794, nodeeco: 544
Itération 793, nodeeco: 528
Itération 792, nodeeco: 529
Itération 791, nodeeco: 542
Itération 790, nodeeco: 538
Itération 789, nodeeco: 526
Itération 788, nodeeco: 532
Itération 787, nodeeco: 516
Itération 786, nodeeco: 524
Itération 785, nodeeco: 512
Itération 784, nodeeco: 520
Itération 783, nodeeco: 529
Itération 782, nodeeco: 526
Itération 781, nodeeco: 549
Itération 780, nodeeco: 494
Itération 779, nodeeco: 517
Itération 778, nodeeco: 511
Itération 777, nodeeco: 529
Itération 776, nodeeco: 513
Itération 775, nodeeco: 518
Itération 774, nodeeco: 525
Itération 773, nodeeco: 502
Itération 772, nodeeco: 525
Itération 771, nodeeco: 513
Itération 770, nodeeco: 531
Itération 769, nodeeco: 524
Itération 768, nodeeco: 544
Itération 767, nodeeco: 521
Itération 766, nodeeco: 531
Itération 765, nodeeco: 513
Itération 764, nodeeco: 531
Itération 763, nodeeco: 517
Itération 762, nodeeco: 523
Itération 761, nodeeco: 504
Itération 760, nodeeco: 512
Itération 759, nodeeco: 521
Itération 758, nodeeco: 495
Itération 757, nodeeco: 498
Itération 756, nodeeco: 530
Itération 755, nodeeco: 522
Itération 754, nodeeco: 534
Itération 753, nodeeco: 500
Itération 752, nodeeco: 497
Itération 751, nodeeco: 515
Itération 750, nodeeco: 509
Itération 749, nodeeco: 514
Itération 748, nodeeco: 514
Itération 747, nodeeco: 476
Itération 746, nodeeco: 504
Itération 745, nodeeco: 517
Itération 744, nodeeco: 482
