Itération 900, nodeeco: 1023
Itération 899, nodeeco: 1023
Itération 898, nodeeco: 1023
Itération 897, nodeeco: 1023
Itération 896, nodeeco: 1023
Itération 895, nodeeco: 1023
Itération 894, nodeeco: 1023
Itération 893, nodeeco: 1023
Itération 892, nodeeco: 1023
Itération 891, nodeeco: 1023
Itération 890, nodeeco: 1023
Itération 889, nodeeco: 1023
Itération 888, nodeeco: 1023
Itération 887, nodeeco: 1023
Itération 886, nodeeco: 1023
Itération 885, nodeeco: 1023
Itération 884, nodeeco: 1023
Itération 883, nodeeco: 1023
Itération 882, nodeeco: 1023
Itération 881, nodeeco: 1023
Itération 880, nodeeco: 1023
Itération 879, nodeeco: 1023
Itération 878, nodeeco: 1023
Itération 877, nodeeco: 1023
Itération 876, nodeeco: 1023
Itération 875, nodeeco: 1023
Itération 874, nodeeco: 1023
Itération 873, nodeeco: 1023
Itération 872, nodeeco: 1023
Itération 871, nodeeco: 1023
Itération 870, nodeeco: 1023
Itération 869, nodeeco: 1023
Itération 868, nodeeco: 1023
Itération 867, nodeeco: 1023
Itération 866, nodeeco: 1023
Itération 865, nodeeco: 1023
Itération 864, nodeeco: 1023
Itération 863, nodeeco: 1023
Itération 862, nodeeco: 1023
Itération 861, nodeeco: 1023
Itération 860, nodeeco: 1023
Itération 859, nodeeco: 1023
Itération 858, nodeeco: 1023
Itération 857, nodeeco: 1023
Itération 856, nodeeco: 1023
Itération 855, nodeeco: 1023
Itération 854, nodeeco: 1023
Itération 853, nodeeco: 1023
Itération 852, nodeeco: 1023
Itération 851, nodeeco: 1023
Itération 850, nodeeco: 1023
Itération 849, nodeeco: 1023
Itération 848, nodeeco: 1023
Itération 847, nodeeco: 1023
Itération 846, nodeeco: 1023
Itération 845, nodeeco: 1023
Itération 844, nodeeco: 1023
Itération 843, nodeeco: 1023
Itération 842, nodeeco: 1023
Itération 841, nodeeco: 1023
Itération 840, nodeeco: 1023
Itération 839, nodeeco: 1023
Itération 838, nodeeco: 1023
Itération 837, nodeeco: 1023
Itération 836, nodeeco: 1023
Itération 835, nodeeco: 1023
Itération 834, nodeeco: 1023
Itération 833, nodeeco: 1023
Itération 832, nodeeco: 1023
Itération 831, nodeeco: 1023
Itération 830, nodeeco: 1023
Itération 829, nodeeco: 1023
Itération 828, nodeeco: 1023
Itération 827, nodeeco: 1023
Itération 826, nodeeco: 1023
Itération 825, nodeeco: 1023
Itération 824, nodeeco: 1023
Itération 823, nodeeco: 1023
Itération 822, nodeeco: 1023
Itération 821, nodeeco: 1023
Itération 820, nodeeco: 1023
Itération 819, nodeeco: 1023
Itération 818, nodeeco: 1023
Itération 817, nodeeco: 1023
Itération 816, nodeeco: 1023
Itération 815, nodeeco: 1023
Itération 814, nodeeco: 1023
Itération 813, nodeeco: 1023
Itération 812, nodeeco: 1023
Itération 811, nodeeco: 1023
Itération 810, nodeeco: 1023
Itération 809, nodeeco: 1023
Itération 808, nodeeco: 1023
Itération 807, nodeeco: 1023
Itération 806, nodeeco: 1023
Itération 805, nodeeco: 1023
Itération 804, nodeeco: 1023
Itération 803, nodeeco: 1023
Itération 802, nodeeco: 1023
Itération 801, nodeeco: 1023
Itération 800, nodeeco: 1023
Itération 799, nodeeco: 1023
Itération 798, nodeeco: 1023
Itération 797, nodeeco: 1023
Itération 796, nodeeco: 1023
Itération 795, nodeeco: 1023
Itération 794, nodeeco: 1023
Itération 793, nodeeco: 1023
Itération 792, nodeeco: 1023
Itération 791, nodeeco: 1023
Itération 790, nodeeco: 1023
Itération 789, nodeeco: 1023
Itération 788, nodeeco: 1023
Itération 787, nodeeco: 1023
Itération 786, nodeeco: 1023
Itération 785, nodeeco: 1023
Itération 784, nodeeco: 1023
Itération 783, nodeeco: 1023
Itération 782, nodeeco: 1023
Itération 781, nodeeco: 1023
Itération 780, nodeeco: 1023
Itération 779, nodeeco: 1023
Itération 778, nodeeco: 1023
Itération 777, nodeeco: 1023
Itération 776, nodeeco: 1023
Itération 775, nodeeco: 1023
Itération 774, nodeeco: 1023
Itération 773, nodeeco: 1023
Itération 772, nodeeco: 1023
Itération 771, nodeeco: 1023
Itération 770, nodeeco: 1023
Itération 769, nodeeco: 1023
Itération 768, nodeeco: 1023
Itération 767, nodeeco: 1023
Itération 766, nodeeco: 1023
Itération 765, nodeeco: 1023
Itération 764, nodeeco: 1023
Itération 763, nodeeco: 1023
Itération 762, nodeeco: 1023
Itération 761, nodeeco: 1023
Itération 760, nodeeco: 1023
Itération 759, nodeeco: 1023
Itération 758, nodeeco: 1023
Itération 757, nodeeco: 1023
Itération 756, nodeeco: 1023
Itération 755, nodeeco: 1023
Itération 754, nodeeco: 1023
Itération 753, nodeeco: 1023
Itération 752, nodeeco: 1023
Itération 751, nodeeco: 1023
Itération 750, nodeeco: 1023
Itération 749, nodeeco: 1023
Itération 748, nodeeco: 1023
Itération 747, nodeeco: 1023
Itération 746, nodeeco: 1023
Itération 745, nodeeco: 1023
Itération 744, nodeeco: 1023
Itération 743, nodeeco: 1023
Itération 742, nodeeco: 1023
Itération 741, nodeeco: 1023
Itération 740, nodeeco: 1023
Itération 739, nodeeco: 1023
Itération 738, nodeeco: 1023
Itération 737, nodeeco: 1023
Itération 736, nodeeco: 1023
Itération 735, nodeeco: 1023
Itération 734, nodeeco: 1023
Itération 733, nodeeco: 1023
Itération 732, nodeeco: 1023
Itération 731, nodeeco: 1023
Itération 730, nodeeco: 1023
Itération 729, nodeeco: 1023
Itération 728, nodeeco: 1023
Itération 727, nodeeco: 1023
Itération 726, nodeeco: 1023
Itération 725, nodeeco: 1023
Itération 724, nodeeco: 1023
Itération 723, nodeeco: 1023
Itération 722, nodeeco: 1023
Itération 721, nodeeco: 1023
Itération 720, nodeeco: 1023
Itération 719, nodeeco: 1023
Itération 718, nodeeco: 1023
Itération 717, nodeeco: 1023
Itération 716, nodeeco: 1023
Itération 715, nodeeco: 1023
Itération 714, nodeeco: 1023
Itération 713, nodeeco: 1023
Itération 712, nodeeco: 1023
Itération 711, nodeeco: 1023
Itération 710, nodeeco: 1023
Itération 709, nodeeco: 1023
Itération 708, nodeeco: 1023
Itération 707, nodeeco: 1023
Itération 706, nodeeco: 1023
Itération 705, nodeeco: 1023
Itération 704, nodeeco: 1023
Itération 703, nodeeco: 1023
Itération 702, nodeeco: 1023
Itération 701, nodeeco: 1023
Itération 700, nodeeco: 1023
Itération 699, nodeeco: 1023
Itération 698, nodeeco: 1023
Itération 697, nodeeco: 1023
Itération 696, nodeeco: 1023
Itération 695, nodeeco: 1023
Itération 694, nodeeco: 1023
Itération 693, nodeeco: 1023
Itération 692, nodeeco: 1023
Itération 691, nodeeco: 1023
Itération 690, nodeeco: 1023
Itération 689, nodeeco: 1023
Itération 688, nodeeco: 1023
Itération 687, nodeeco: 1023
Itération 686, nodeeco: 1023
Itération 685, nodeeco: 1023
Itération 684, nodeeco: 1023
Itération 683, nodeeco: 1023
Itération 682, nodeeco: 1023
Itération 681, nodeeco: 1023
Itération 680, nodeeco: 1023
Itération 679, nodeeco: 1023
Itération 678, nodeeco: 1023
Itération 677, nodeeco: 1023
Itération 676, nodeeco: 1023
Itération 675, nodeeco: 1023
Itération 674, nodeeco: 1023
Itération 673, nodeeco: 1023
Itération 672, nodeeco: 1023
Itération 671, nodeeco: 1023
Itération 670, nodeeco: 1023
Itération 669, nodeeco: 1023
Itération 668, nodeeco: 1023
Itération 667, nodeeco: 1023
Itération 666, nodeeco: 1023
Itération 665, nodeeco: 1023
Itération 664, nodeeco: 1023
Itération 663, nodeeco: 1023
Itération 662, nodeeco: 1023
Itération 661, nodeeco: 1023
Itération 660, nodeeco: 1023
Itération 659, nodeeco: 1023
Itération 658, nodeeco: 1023
Itération 657, nodeeco: 1023
Itération 656, nodeeco: 1023
Itération 655, nodeeco: 1023
Itération 654, nodeeco: 1023
Itération 653, nodeeco: 1023
Itération 652, nodeeco: 1023
Itération 651, nodeeco: 1023
Itération 650, nodeeco: 1023
Itération 649, nodeeco: 1023
Itération 648, nodeeco: 1023
Itération 647, nodeeco: 1023
Itération 646, nodeeco: 1023
Itération 645, nodeeco: 1023
Itération 644, nodeeco: 1023
Itération 643, nodeeco: 1023
Itération 642, nodeeco: 1023
Itération 641, nodeeco: 1023
Itération 640, nodeeco: 1023
Itération 639, nodeeco: 1023
Itération 638, nodeeco: 1023
Itération 637, nodeeco: 1023
Itération 636, nodeeco: 1023
Itération 635, nodeeco: 1023
Itération 634, nodeeco: 1023
Itération 633, nodeeco: 1023
Itération 632, nodeeco: 1023
Itération 631, nodeeco: 1023
Itération 630, nodeeco: 1023
Itération 629, nodeeco: 1023
Itération 628, nodeeco: 1023
Itération 627, nodeeco: 1023
Itération 626, nodeeco: 1023
Itération 625, nodeeco: 1023
Itération 624, nodeeco: 1023
Itération 623, nodeeco: 1023
Itération 622, nodeeco: 1023
Itération 621, nodeeco: 1023
Itération 620, nodeeco: 1023
Itération 619, nodeeco: 1023
Itération 618, nodeeco: 1023
Itération 617, nodeeco: 1023
Itération 616, nodeeco: 1023
Itération 615, nodeeco: 1023
Itération 614, nodeeco: 1023
Itération 613, nodeeco: 1023
Itération 612, nodeeco: 1023
Itération 611, nodeeco: 1023
Itération 610, nodeeco: 1023
Itération 609, nodeeco: 1023
Itération 608, nodeeco: 1023
Itération 607, nodeeco: 1023
Itération 606, nodeeco: 1023
Itération 605, nodeeco: 1023
Itération 604, nodeeco: 1023
Itération 603, nodeeco: 1023
Itération 602, nodeeco: 1023
Itération 601, nodeeco: 1023
Itération 600, nodeeco: 1023
Itération 599, nodeeco: 1023
Itération 598, nodeeco: 1023
Itération 597, nodeeco: 1023
Itération 596, nodeeco: 1023
Itération 595, nodeeco: 1023
Itération 594, nodeeco: 1023
Itération 593, nodeeco: 1023
Itération 592, nodeeco: 1023
Itération 591, nodeeco: 1023
Itération 590, nodeeco: 1023
Itération 589, nodeeco: 1023
Itération 588, nodeeco: 1023
Itération 587, nodeeco: 1023
Itération 586, nodeeco: 1023
Itération 585, nodeeco: 1023
Itération 584, nodeeco: 1023
Itération 583, nodeeco: 1023
Itération 582, nodeeco: 1023
Itération 581, nodeeco: 1023
Itération 580, nodeeco: 1023
Itération 579, nodeeco: 1023
Itération 578, nodeeco: 1023
Itération 577, nodeeco: 1023
Itération 576, nodeeco: 1023
Itération 575, nodeeco: 1023
Itération 574, nodeeco: 1023
Itération 573, nodeeco: 1023
Itération 572, nodeeco: 1023
Itération 571, nodeeco: 1023
Itération 570, nodeeco: 1023
Itération 569, nodeeco: 1023
Itération 568, nodeeco: 1023
Itération 567, nodeeco: 1023
Itération 566, nodeeco: 1023
Itération 565, nodeeco: 1023
Itération 564, nodeeco: 1023
Itération 563, nodeeco: 1023
Itération 562, nodeeco: 1023
Itération 561, nodeeco: 1023
Itération 560, nodeeco: 1023
Itération 559, nodeeco: 1023
Itération 558, nodeeco: 1023
Itération 557, nodeeco: 1023
Itération 556, nodeeco: 1023
Itération 555, nodeeco: 1023
Itération 554, nodeeco: 1023
Itération 553, nodeeco: 1023
Itération 552, nodeeco: 1023
Itération 551, nodeeco: 1023
Itération 550, nodeeco: 1023
Itération 549, nodeeco: 1023
Itération 548, nodeeco: 1023
Itération 547, nodeeco: 1023
Itération 546, nodeeco: 1023
Itération 545, nodeeco: 1023
Itération 544, nodeeco: 1023
Itération 543, nodeeco: 1023
Itération 542, nodeeco: 1023
Itération 541, nodeeco: 1023
Itération 540, nodeeco: 1023
Itération 539, nodeeco: 1023
Itération 538, nodeeco: 1023
Itération 537, nodeeco: 1023
Itération 536, nodeeco: 1023
Itération 535, nodeeco: 1023
Itération 534, nodeeco: 1023
Itération 533, nodeeco: 1023
Itération 532, nodeeco: 1023
Itération 531, nodeeco: 1023
Itération 530, nodeeco: 1023
Itération 529, nodeeco: 1023
Itération 528, nodeeco: 1023
Itération 527, nodeeco: 1023
Itération 526, nodeeco: 1023
Itération 525, nodeeco: 1023
Itération 524, nodeeco: 1023
Itération 523, nodeeco: 1023
Itération 522, nodeeco: 1023
Itération 521, nodeeco: 1023
Itération 520, nodeeco: 1023
Itération 519, nodeeco: 1023
Itération 518, nodeeco: 1023
Itération 517, nodeeco: 1023
Itération 516, nodeeco: 1023
Itération 515, nodeeco: 1023
Itération 514, nodeeco: 1023
Itération 513, nodeeco: 511
Itération 512, nodeeco: 511
Itération 511, nodeeco: 511
Itération 510, nodeeco: 511
Itération 509, nodeeco: 511
Itération 508, nodeeco: 511
Itération 507, nodeeco: 511
Itération 506, nodeeco: 511
Itération 505, nodeeco: 511
Itération 504, nodeeco: 511
Itération 503, nodeeco: 511
Itération 502, nodeeco: 511
Itération 501, nodeeco: 511
Itération 500, nodeeco: 511
Itération 499, nodeeco: 511
Itération 498, nodeeco: 511
Itération 497, nodeeco: 511
Itération 496, nodeeco: 511
Itération 495, nodeeco: 511
Itération 494, nodeeco: 511
Itération 493, nodeeco: 511
Itération 492, nodeeco: 511
Itération 491, nodeeco: 511
Itération 490, nodeeco: 511
Itération 489, nodeeco: 511
Itération 488, nodeeco: 511
Itération 487, nodeeco: 511
Itération 486, nodeeco: 511
Itération 485, nodeeco: 511
Itération 484, nodeeco: 511
Itération 483, nodeeco: 511
Itération 482, nodeeco: 511
Itération 481, nodeeco: 511
Itération 480, nodeeco: 511
Itération 479, nodeeco: 511
Itération 478, nodeeco: 511
Itération 477, nodeeco: 511
Itération 476, nodeeco: 511
Itération 475, nodeeco: 511
Itération 474, nodeeco: 511
Itération 473, nodeeco: 511
Itération 472, nodeeco: 511
Itération 471, nodeeco: 511
Itération 470, nodeeco: 511
Itération 469, nodeeco: 511
Itération 468, nodeeco: 511
Itération 467, nodeeco: 511
Itération 466, nodeeco: 511
Itération 465, nodeeco: 511
Itération 464, nodeeco: 511
Itération 463, nodeeco: 511
Itération 462, nodeeco: 511
Itération 461, nodeeco: 511
Itération 460, nodeeco: 511
Itération 459, nodeeco: 511
Itération 458, nodeeco: 511
Itération 457, nodeeco: 511
Itération 456, nodeeco: 511
Itération 455, nodeeco: 511
Itération 454, nodeeco: 511
Itération 453, nodeeco: 511
Itération 452, nodeeco: 511
Itération 451, nodeeco: 511
Itération 450, nodeeco: 511
Itération 449, nodeeco: 511
Itération 448, nodeeco: 511
Itération 447, nodeeco: 511
Itération 446, nodeeco: 511
Itération 445, nodeeco: 511
Itération 444, nodeeco: 511
Itération 443, nodeeco: 511
Itération 442, nodeeco: 511
Itération 441, nodeeco: 511
Itération 440, nodeeco: 511
Itération 439, nodeeco: 511
Itération 438, nodeeco: 511
Itération 437, nodeeco: 511
Itération 436, nodeeco: 511
Itération 435, nodeeco: 511
Itération 434, nodeeco: 511
Itération 433, nodeeco: 511
Itération 432, nodeeco: 511
Itération 431, nodeeco: 511
Itération 430, nodeeco: 511
Itération 429, nodeeco: 511
Itération 428, nodeeco: 511
Itération 427, nodeeco: 511
Itération 426, nodeeco: 511
Itération 425, nodeeco: 511
Itération 424, nodeeco: 511
Itération 423, nodeeco: 511
Itération 422, nodeeco: 511
Itération 421, nodeeco: 511
Itération 420, nodeeco: 511
Itération 419, nodeeco: 511
Itération 418, nodeeco: 511
Itération 417, nodeeco: 511
Itération 416, nodeeco: 511
Itération 415, nodeeco: 511
Itération 414, nodeeco: 511
Itération 413, nodeeco: 511
Itération 412, nodeeco: 511
Itération 411, nodeeco: 511
Itération 410, nodeeco: 511
Itération 409, nodeeco: 511
Itération 408, nodeeco: 511
Itération 407, nodeeco: 511
Itération 406, nodeeco: 511
Itération 405, nodeeco: 511
Itération 404, nodeeco: 511
Itération 403, nodeeco: 511
Itération 402, nodeeco: 511
Itération 401, nodeeco: 511
Itération 400, nodeeco: 511
Itération 399, nodeeco: 511
Itération 398, nodeeco: 511
Itération 397, nodeeco: 511
Itération 396, nodeeco: 511
Itération 395, nodeeco: 511
Itération 394, nodeeco: 511
Itération 393, nodeeco: 511
Itération 392, nodeeco: 511
Itération 391, nodeeco: 511
Itération 390, nodeeco: 511
Itération 389, nodeeco: 511
Itération 388, nodeeco: 511
Itération 387, nodeeco: 511
Itération 386, nodeeco: 511
Itération 385, nodeeco: 511
Itération 384, nodeeco: 511
Itération 383, nodeeco: 511
Itération 382, nodeeco: 511
Itération 381, nodeeco: 511
Itération 380, nodeeco: 511
Itération 379, nodeeco: 511
Itération 378, nodeeco: 511
Itération 377, nodeeco: 511
Itération 376, nodeeco: 511
Itération 375, nodeeco: 511
Itération 374, nodeeco: 511
Itération 373, nodeeco: 511
Itération 372, nodeeco: 511
Itération 371, nodeeco: 511
Itération 370, nodeeco: 511
Itération 369, nodeeco: 511
Itération 368, nodeeco: 511
Itération 367, nodeeco: 511
