Itération 900, time: 0.011309s
Itération 899, time: 0.012417s
Itération 898, time: 0.012369s
Itération 897, time: 0.012749s
Itération 896, time: 0.011555s
Itération 895, time: 0.011346s
Itération 894, time: 0.010941s
Itération 893, time: 0.012860s
Itération 892, time: 0.009680s
Itération 891, time: 0.010349s
Itération 890, time: 0.011315s
Itération 889, time: 0.011928s
Itération 888, time: 0.011706s
Itération 887, time: 0.011639s
Itération 886, time: 0.012115s
Itération 885, time: 0.012351s
Itération 884, time: 0.011258s
Itération 883, time: 0.009770s
Itération 882, time: 0.010844s
Itération 881, time: 0.011685s
Itération 880, time: 0.010836s
Itération 879, time: 0.010398s
Itération 878, time: 0.010801s
Itération 877, time: 0.011685s
Itération 876, time: 0.010840s
Itération 875, time: 0.010687s
Itération 874, time: 0.011091s
Itération 873, time: 0.012366s
Itération 872, time: 0.010475s
Itération 871, time: 0.010630s
Itération 870, time: 0.009993s
Itération 869, time: 0.010898s
Itération 868, time: 0.011090s
Itération 867, time: 0.010884s
Itération 866, time: 0.010289s
Itération 865, time: 0.010115s
Itération 864, time: 0.011635s
Itération 863, time: 0.010092s
Itération 862, time: 0.010318s
Itération 861, time: 0.011543s
Itération 860, time: 0.010368s
Itération 859, time: 0.009391s
Itération 858, time: 0.011069s
Itération 857, time: 0.010712s
Itération 856, time: 0.010047s
Itération 855, time: 0.010355s
Itération 854, time: 0.010295s
Itération 853, time: 0.009942s
Itération 852, time: 0.009666s
Itération 851, time: 0.010485s
Itération 850, time: 0.010410s
Itération 849, time: 0.009473s
Itération 848, time: 0.009982s
Itération 847, time: 0.010447s
Itération 846, time: 0.010687s
Itération 845, time: 0.011014s
Itération 844, time: 0.010239s
Itération 843, time: 0.009799s
Itération 842, time: 0.010297s
Itération 841, time: 0.009969s
Itération 840, time: 0.009548s
Itération 839, time: 0.009425s
Itération 838, time: 0.010182s
Itération 837, time: 0.010489s
Itération 836, time: 0.010411s
Itération 835, time: 0.009468s
Itération 834, time: 0.009910s
Itération 833, time: 0.009457s
Itération 832, time: 0.009332s
Itération 831, time: 0.009530s
Itération 830, time: 0.009560s
Itération 829, time: 0.009238s
Itération 828, time: 0.009829s
Itération 827, time: 0.009763s
Itération 826, time: 0.010114s
Itération 825, time: 0.010135s
Itération 824, time: 0.009492s
Itération 823, time: 0.009334s
Itération 822, time: 0.009129s
Itération 821, time: 0.009684s
Itération 820, time: 0.009013s
Itération 819, time: 0.008970s
Itération 818, time: 0.009585s
Itération 817, time: 0.009559s
Itération 816, time: 0.009360s
Itération 815, time: 0.009459s
Itération 814, time: 0.009484s
Itération 813, time: 0.009526s
Itération 812, time: 0.009114s
Itération 811, time: 0.009858s
Itération 810, time: 0.009275s
Itération 809, time: 0.009376s
Itération 808, time: 0.008988s
Itération 807, time: 0.009155s
Itération 806, time: 0.009215s
Itération 805, time: 0.009408s
Itération 804, time: 0.009313s
Itération 803, time: 0.009098s
Itération 802, time: 0.009212s
Itération 801, time: 0.009329s
Itération 800, time: 0.008808s
Itération 799, time: 0.009024s
Itération 798, time: 0.009508s
Itération 797, time: 0.009238s
Itération 796, time: 0.009282s
Itération 795, time: 0.009579s
Itération 794, time: 0.009443s
Itération 793, time: 0.009830s
Itération 792, time: 0.008787s
Itération 791, time: 0.008848s
Itération 790, time: 0.009177s
Itération 789, time: 0.009122s
Itération 788, time: 0.009135s
Itération 787, time: 0.008580s
Itération 786, time: 0.008903s
Itération 785, time: 0.008887s
Itération 784, time: 0.008965s
Itération 783, time: 0.008875s
Itération 782, time: 0.009248s
Itération 781, time: 0.007865s
Itération 780, time: 0.009692s
Itération 779, time: 0.008858s
Itération 778, time: 0.008868s
Itération 777, time: 0.007998s
Itération 776, time: 0.008446s
Itération 775, time: 0.008227s
Itération 774, time: 0.007828s
Itération 773, time: 0.009346s
Itération 772, time: 0.008542s
Itération 771, time: 0.008377s
Itération 770, time: 0.009164s
Itération 769, time: 0.008388s
Itération 768, time: 0.008376s
Itération 767, time: 0.009442s
Itération 766, time: 0.008626s
Itération 765, time: 0.008645s
Itération 764, time: 0.008596s
Itération 763, time: 0.009756s
Itération 762, time: 0.008534s
Itération 761, time: 0.008273s
Itération 760, time: 0.008187s
Itération 759, time: 0.007072s
Itération 758, time: 0.008748s
Itération 757, time: 0.008053s
Itération 756, time: 0.007790s
Itération 755, time: 0.008100s
Itération 754, time: 0.007719s
Itération 753, time: 0.008050s
Itération 752, time: 0.007348s
Itération 751, time: 0.008905s
Itération 750, time: 0.008479s
Itération 749, time: 0.008610s
Itération 748, time: 0.009510s
Itération 747, time: 0.008106s
Itération 746, time: 0.008168s
Itération 745, time: 0.008544s
Itération 744, time: 0.007685s
Itération 743, time: 0.007856s
Itération 742, time: 0.007991s
Itération 741, time: 0.007690s
Itération 740, time: 0.009130s
Itération 739, time: 0.007386s
Itération 738, time: 0.006778s
Itération 737, time: 0.008161s
Itération 736, time: 0.008367s
Itération 735, time: 0.007438s
Itération 734, time: 0.007805s
Itération 733, time: 0.007997s
Itération 732, time: 0.008205s
Itération 731, time: 0.008466s
Itération 730, time: 0.007786s
Itération 729, time: 0.007682s
Itération 728, time: 0.007639s
Itération 727, time: 0.007036s
Itération 726, time: 0.007103s
Itération 725, time: 0.007837s
Itération 724, time: 0.007540s
Itération 723, time: 0.007690s
Itération 722, time: 0.007454s
Itération 721, time: 0.007056s
Itération 720, time: 0.007294s
Itération 719, time: 0.007446s
Itération 718, time: 0.007362s
Itération 717, time: 0.006683s
Itération 716, time: 0.008117s
Itération 715, time: 0.007484s
Itération 714, time: 0.007671s
Itération 713, time: 0.007381s
Itération 712, time: 0.007912s
Itération 711, time: 0.007463s
Itération 710, time: 0.007659s
Itération 709, time: 0.007442s
Itération 708, time: 0.007473s
Itération 707, time: 0.007076s
Itération 706, time: 0.007464s
Itération 705, time: 0.007573s
Itération 704, time: 0.007409s
Itération 703, time: 0.007606s
Itération 702, time: 0.007673s
Itération 701, time: 0.008489s
Itération 700, time: 0.006849s
Itération 699, time: 0.007820s
Itération 698, time: 0.006349s
Itération 697, time: 0.007967s
Itération 696, time: 0.007803s
Itération 695, time: 0.007065s
Itération 694, time: 0.008749s
Itération 693, time: 0.006452s
Itération 692, time: 0.007812s
Itération 691, time: 0.007731s
Itération 690, time: 0.007664s
Itération 689, time: 0.007117s
Itération 688, time: 0.007215s
Itération 687, time: 0.007460s
Itération 686, time: 0.007863s
Itération 685, time: 0.007411s
Itération 684, time: 0.007721s
Itération 683, time: 0.006747s
Itération 682, time: 0.007313s
Itération 681, time: 0.007783s
Itération 680, time: 0.006850s
Itération 679, time: 0.007766s
Itération 678, time: 0.007811s
Itération 677, time: 0.007120s
Itération 676, time: 0.008806s
Itération 675, time: 0.006688s
Itération 674, time: 0.007324s
Itération 673, time: 0.007837s
Itération 672, time: 0.007725s
Itération 671, time: 0.007548s
Itération 670, time: 0.007043s
Itération 669, time: 0.006952s
Itération 668, time: 0.007733s
Itération 667, time: 0.007563s
Itération 666, time: 0.007151s
Itération 665, time: 0.007177s
Itération 664, time: 0.007520s
Itération 663, time: 0.007066s
Itération 662, time: 0.007048s
Itération 661, time: 0.006819s
Itération 660, time: 0.006742s
Itération 659, time: 0.007548s
Itération 658, time: 0.007610s
Itération 657, time: 0.006666s
Itération 656, time: 0.007519s
Itération 655, time: 0.007259s
Itération 654, time: 0.006355s
Itération 653, time: 0.006821s
Itération 652, time: 0.007967s
Itération 651, time: 0.006791s
Itération 650, time: 0.006599s
Itération 649, time: 0.007224s
Itération 648, time: 0.007558s
Itération 647, time: 0.008288s
Itération 646, time: 0.008076s
Itération 645, time: 0.007758s
Itération 644, time: 0.007188s
Itération 643, time: 0.006998s
Itération 642, time: 0.007096s
Itération 641, time: 0.007359s
Itération 640, time: 0.008239s
Itération 639, time: 0.007773s
Itération 638, time: 0.006504s
Itération 637, time: 0.008225s
Itération 636, time: 0.007409s
Itération 635, time: 0.007320s
Itération 634, time: 0.007590s
Itération 633, time: 0.006802s
Itération 632, time: 0.008576s
Itération 631, time: 0.007163s
Itération 630, time: 0.007517s
Itération 629, time: 0.006798s
Itération 628, time: 0.007260s
Itération 627, time: 0.007458s
Itération 626, time: 0.007534s
Itération 625, time: 0.007263s
Itération 624, time: 0.007188s
Itération 623, time: 0.006957s
Itération 622, time: 0.007095s
Itération 621, time: 0.006762s
Itération 620, time: 0.006840s
Itération 619, time: 0.007467s
Itération 618, time: 0.007241s
Itération 617, time: 0.006097s
Itération 616, time: 0.007192s
Itération 615, time: 0.006883s
Itération 614, time: 0.007065s
Itération 613, time: 0.007171s
Itération 612, time: 0.006379s
Itération 611, time: 0.006626s
Itération 610, time: 0.007231s
Itération 609, time: 0.006900s
Itération 608, time: 0.007533s
Itération 607, time: 0.006736s
Itération 606, time: 0.006699s
Itération 605, time: 0.006869s
Itération 604, time: 0.007111s
Itération 603, time: 0.006394s
Itération 602, time: 0.007296s
Itération 601, time: 0.006165s
Itération 600, time: 0.006707s
Itération 599, time: 0.007000s
Itération 598, time: 0.006726s
Itération 597, time: 0.006562s
Itération 596, time: 0.006503s
Itération 595, time: 0.006370s
Itération 594, time: 0.007141s
Itération 593, time: 0.006336s
Itération 592, time: 0.006743s
Itération 591, time: 0.006262s
Itération 590, time: 0.006639s
Itération 589, time: 0.006562s
Itération 588, time: 0.006164s
Itération 587, time: 0.006685s
Itération 586, time: 0.006976s
Itération 585, time: 0.006838s
Itération 584, time: 0.006788s
Itération 583, time: 0.007357s
Itération 582, time: 0.007260s
Itération 581, time: 0.006928s
Itération 580, time: 0.006601s
Itération 579, time: 0.006193s
Itération 578, time: 0.007527s
Itération 577, time: 0.006989s
Itération 576, time: 0.006245s
Itération 575, time: 0.006397s
Itération 574, time: 0.006500s
Itération 573, time: 0.006868s
Itération 572, time: 0.006661s
Itération 571, time: 0.006598s
Itération 570, time: 0.006553s
Itération 569, time: 0.006989s
Itération 568, time: 0.006354s
Itération 567, time: 0.006424s
Itération 566, time: 0.006633s
Itération 565, time: 0.006047s
Itération 564, time: 0.006197s
Itération 563, time: 0.006400s
Itération 562, time: 0.006030s
Itération 561, time: 0.006418s
Itération 560, time: 0.006411s
Itération 559, time: 0.006264s
Itération 558, time: 0.006347s
Itération 557, time: 0.006340s
Itération 556, time: 0.006266s
Itération 555, time: 0.006394s
Itération 554, time: 0.005993s
Itération 553, time: 0.006620s
Itération 552, time: 0.006348s
Itération 551, time: 0.006257s
Itération 550, time: 0.006071s
Itération 549, time: 0.006365s
Itération 548, time: 0.006225s
Itération 547, time: 0.005831s
Itération 546, time: 0.005994s
Itération 545, time: 0.006486s
Itération 544, time: 0.005861s
Itération 543, time: 0.006561s
Itération 542, time: 0.006084s
Itération 541, time: 0.006275s
Itération 540, time: 0.006119s
Itération 539, time: 0.005809s
Itération 538, time: 0.006035s
Itération 537, time: 0.006112s
Itération 536, time: 0.005540s
Itération 535, time: 0.005842s
Itération 534, time: 0.005518s
Itération 533, time: 0.005792s
Itération 532, time: 0.006018s
Itération 531, time: 0.005902s
Itération 530, time: 0.006131s
Itération 529, time: 0.005944s
Itération 528, time: 0.005393s
Itération 527, time: 0.005885s
Itération 526, time: 0.006029s
Itération 525, time: 0.005845s
Itération 524, time: 0.006224s
Itération 523, time: 0.005208s
Itération 522, time: 0.006130s
Itération 521, time: 0.005690s
Itération 520, time: 0.005805s
Itération 519, time: 0.005712s
Itération 518, time: 0.005930s
Itération 517, time: 0.005926s
Itération 516, time: 0.005702s
Itération 515, time: 0.005481s
Itération 514, time: 0.005295s
Itération 513, time: 0.005221s
Itération 512, time: 0.005123s
Itération 511, time: 0.004958s
Itération 510, time: 0.005143s
Itération 509, time: 0.004760s
Itération 508, time: 0.004909s
Itération 507, time: 0.004951s
Itération 506, time: 0.004693s
Itération 505, time: 0.004771s
Itération 504, time: 0.004565s
Itération 503, time: 0.004520s
Itération 502, time: 0.004453s
Itération 501, time: 0.004952s
Itération 500, time: 0.004336s
Itération 499, time: 0.004634s
Itération 498, time: 0.004763s
Itération 497, time: 0.005076s
Itération 496, time: 0.004465s
Itération 495, time: 0.005083s
Itération 494, time: 0.004587s
Itération 493, time: 0.004583s
Itération 492, time: 0.004838s
Itération 491, time: 0.004212s
Itération 490, time: 0.004674s
Itération 489, time: 0.004718s
Itération 488, time: 0.004939s
Itération 487, time: 0.004166s
Itération 486, time: 0.004974s
Itération 485, time: 0.004025s
Itération 484, time: 0.004696s
Itération 483, time: 0.004264s
Itération 482, time: 0.004426s
Itération 481, time: 0.004599s
Itération 480, time: 0.004185s
Itération 479, time: 0.004201s
Itération 478, time: 0.004091s
Itération 477, time: 0.004221s
Itération 476, time: 0.004602s
Itération 475, time: 0.004273s
Itération 474, time: 0.004108s
Itération 473, time: 0.004314s
Itération 472, time: 0.004346s
Itération 471, time: 0.004332s
Itération 470, time: 0.004690s
Itération 469, time: 0.003872s
Itération 468, time: 0.004016s
Itération 467, time: 0.004072s
Itération 466, time: 0.004239s
Itération 465, time: 0.003839s
Itération 464, time: 0.004152s
Itération 463, time: 0.003557s
Itération 462, time: 0.004006s
Itération 461, time: 0.003730s
Itération 460, time: 0.003817s
Itération 459, time: 0.004271s
Itération 458, time: 0.003658s
Itération 457, time: 0.004064s
Itération 456, time: 0.003412s
Itération 455, time: 0.003969s
Itération 454, time: 0.004458s
Itération 453, time: 0.004182s
Itération 452, time: 0.003912s
Itération 451, time: 0.004014s
Itération 450, time: 0.003945s
Itération 449, time: 0.003970s
Itération 448, time: 0.003850s
Itération 447, time: 0.004251s
Itération 446, time: 0.003775s
Itération 445, time: 0.004220s
Itération 444, time: 0.003785s
Itération 443, time: 0.003776s
Itération 442, time: 0.003521s
Itération 441, time: 0.003545s
Itération 440, time: 0.004062s
Itération 439, time: 0.004067s
Itération 438, time: 0.004216s
Itération 437, time: 0.003460s
Itération 436, time: 0.003704s
Itération 435, time: 0.003673s
Itération 434, time: 0.003291s
Itération 433, time: 0.003992s
Itération 432, time: 0.003628s
Itération 431, time: 0.003303s
Itération 430, time: 0.003418s
Itération 429, time: 0.003546s
Itération 428, time: 0.004069s
Itération 427, time: 0.003572s
Itération 426, time: 0.003656s
Itération 425, time: 0.003493s
Itération 424, time: 0.003559s
Itération 423, time: 0.003419s
Itération 422, time: 0.002973s
Itération 421, time: 0.003502s
Itération 420, time: 0.003625s
Itération 419, time: 0.003703s
Itération 418, time: 0.003592s
Itération 417, time: 0.003139s
Itération 416, time: 0.003277s
Itération 415, time: 0.003253s
Itération 414, time: 0.003275s
Itération 413, time: 0.003023s
Itération 412, time: 0.003628s
Itération 411, time: 0.003385s
Itération 410, time: 0.003400s
Itération 409, time: 0.003197s
Itération 408, time: 0.003458s
Itération 407, time: 0.003185s
Itération 406, time: 0.002897s
Itération 405, time: 0.003245s
Itération 404, time: 0.003173s
Itération 403, time: 0.003012s
Itération 402, time: 0.003226s
Itération 401, time: 0.003582s
Itération 400, time: 0.003143s
Itération 399, time: 0.003257s
Itération 398, time: 0.002886s
Itération 397, time: 0.003089s
Itération 396, time: 0.002958s
Itération 395, time: 0.002774s
Itération 394, time: 0.003139s
Itération 393, time: 0.002993s
Itération 392, time: 0.003485s
Itération 391, time: 0.002982s
Itération 390, time: 0.003041s
Itération 389, time: 0.003126s
Itération 388, time: 0.003066s
Itération 387, time: 0.002780s
Itération 386, time: 0.002930s
Itération 385, time: 0.002973s
Itération 384, time: 0.002975s
Itération 383, time: 0.002755s
Itération 382, time: 0.002846s
Itération 381, time: 0.003316s
Itération 380, time: 0.002947s
Itération 379, time: 0.003037s
Itération 378, time: 0.002681s
Itération 377, time: 0.002620s
Itération 376, time: 0.002938s
Itération 375, time: 0.002873s
Itération 374, time: 0.002725s
Itération 373, time: 0.002915s
Itération 372, time: 0.003037s
Itération 371, time: 0.003005s
Itération 370, time: 0.002948s
Itération 369, time: 0.002722s
Itération 368, time: 0.002551s
Itération 367, time: 0.002699s
Itération 366, time: 0.002523s
Itération 365, time: 0.002623s
Itération 364, time: 0.003025s
Itération 363, time: 0.003010s
Itération 362, time: 0.002592s
Itération 361, time: 0.002762s
Itération 360, time: 0.002884s
Itération 359, time: 0.002590s
Itération 358, time: 0.002334s
Itération 357, time: 0.002850s
Itération 356, time: 0.002988s
Itération 355, time: 0.002900s
Itération 354, time: 0.002677s
Itération 353, time: 0.002826s
Itération 352, time: 0.002629s
Itération 351, time: 0.002584s
Itération 350, time: 0.002577s
Itération 349, time: 0.002598s
Itération 348, time: 0.002326s
Itération 347, time: 0.002842s
Itération 346, time: 0.002376s
Itération 345, time: 0.002658s
Itération 344, time: 0.002705s
Itération 343, time: 0.002352s
Itération 342, time: 0.002638s
Itération 341, time: 0.002677s
Itération 340, time: 0.002683s
Itération 339, time: 0.002705s
Itération 338, time: 0.002387s
Itération 337, time: 0.002426s
Itération 336, time: 0.002816s
Itération 335, time: 0.002487s
Itération 334, time: 0.002386s
Itération 333, time: 0.002193s
Itération 332, time: 0.002469s
Itération 331, time: 0.002742s
Itération 330, time: 0.002563s
Itération 329, time: 0.002495s
Itération 328, time: 0.002745s
Itération 327, time: 0.002364s
Itération 326, time: 0.002362s
Itération 325, time: 0.002377s
Itération 324, time: 0.002430s
Itération 323, time: 0.002433s
Itération 322, time: 0.002856s
Itération 321, time: 0.002422s
Itération 320, time: 0.002335s
Itération 319, time: 0.002627s
Itération 318, time: 0.002232s
Itération 317, time: 0.002337s
Itération 316, time: 0.002703s
Itération 315, time: 0.002517s
Itération 314, time: 0.002631s
Itération 313, time: 0.002081s
Itération 312, time: 0.002459s
Itération 311, time: 0.002184s
Itération 310, time: 0.002371s
Itération 309, time: 0.002179s
Itération 308, time: 0.002537s
Itération 307, time: 0.002292s
Itération 306, time: 0.002175s
Itération 305, time: 0.002454s
Itération 304, time: 0.002287s
Itération 303, time: 0.002231s
Itération 302, time: 0.002213s
Itération 301, time: 0.001995s
Itération 300, time: 0.002340s
Itération 299, time: 0.002182s
Itération 298, time: 0.002401s
Itération 297, time: 0.002116s
Itération 296, time: 0.002081s
Itération 295, time: 0.002031s
Itération 294, time: 0.002051s
Itération 293, time: 0.002079s
Itération 292, time: 0.002435s
Itération 291, time: 0.002403s
Itération 290, time: 0.002204s
Itération 289, time: 0.002052s
Itération 288, time: 0.001995s
Itération 287, time: 0.002067s
Itération 286, time: 0.002156s
Itération 285, time: 0.001891s
Itération 284, time: 0.002093s
Itération 283, time: 0.002005s
Itération 282, time: 0.002028s
Itération 281, time: 0.002037s
Itération 280, time: 0.001957s
Itération 279, time: 0.002128s
Itération 278, time: 0.001939s
Itération 277, time: 0.002088s
Itération 276, time: 0.001900s
Itération 275, time: 0.002054s
Itération 274, time: 0.002037s
Itération 273, time: 0.002033s
Itération 272, time: 0.002079s
Itération 271, time: 0.002034s
Itération 270, time: 0.001945s
Itération 269, time: 0.001818s
Itération 268, time: 0.001826s
Itération 267, time: 0.002250s
Itération 266, time: 0.001895s
Itération 265, time: 0.002026s
Itération 264, time: 0.001892s
Itération 263, time: 0.001770s
Itération 262, time: 0.001642s
Itération 261, time: 0.002103s
Itération 260, time: 0.002073s
Itération 259, time: 0.001694s
Itération 258, time: 0.001521s
Itération 257, time: 0.001656s
Itération 256, time: 0.001815s
Itération 255, time: 0.001594s
Itération 254, time: 0.001542s
Itération 253, time: 0.002003s
Itération 252, time: 0.001822s
Itération 251, time: 0.001610s
Itération 250, time: 0.001821s
Itération 249, time: 0.001654s
Itération 248, time: 0.001734s
Itération 247, time: 0.001742s
Itération 246, time: 0.001749s
Itération 245, time: 0.001357s
Itération 244, time: 0.001517s
Itération 243, time: 0.001542s
Itération 242, time: 0.001621s
Itération 241, time: 0.001593s
Itération 240, time: 0.001413s
Itération 239, time: 0.001524s
Itération 238, time: 0.001503s
Itération 237, time: 0.001634s
Itération 236, time: 0.001570s
Itération 235, time: 0.001573s
Itération 234, time: 0.001630s
Itération 233, time: 0.001580s
Itération 232, time: 0.001644s
Itération 231, time: 0.001654s
Itération 230, time: 0.001334s
Itération 229, time: 0.001327s
Itération 228, time: 0.001478s
Itération 227, time: 0.001294s
Itération 226, time: 0.001328s
Itération 225, time: 0.001330s
Itération 224, time: 0.001414s
Itération 223, time: 0.001418s
Itération 222, time: 0.001206s
Itération 221, time: 0.001507s
Itération 220, time: 0.001349s
Itération 219, time: 0.001379s
Itération 218, time: 0.001422s
Itération 217, time: 0.001265s
Itération 216, time: 0.001332s
Itération 215, time: 0.001421s
Itération 214, time: 0.001388s
Itération 213, time: 0.001357s
Itération 212, time: 0.001240s
Itération 211, time: 0.001364s
Itération 210, time: 0.001455s
Itération 209, time: 0.001135s
Itération 208, time: 0.001058s
Itération 207, time: 0.001170s
Itération 206, time: 0.001317s
Itération 205, time: 0.001156s
Itération 204, time: 0.001284s
Itération 203, time: 0.001148s
Itération 202, time: 0.001121s
Itération 201, time: 0.001230s
Itération 200, time: 0.001151s
Itération 199, time: 0.001224s
Itération 198, time: 0.001202s
Itération 197, time: 0.001115s
Itération 196, time: 0.001153s
Itération 195, time: 0.001005s
Itération 194, time: 0.001102s
Itération 193, time: 0.001242s
Itération 192, time: 0.001085s
Itération 191, time: 0.001049s
Itération 190, time: 0.001184s
Itération 189, time: 0.001141s
Itération 188, time: 0.001079s
Itération 187, time: 0.001153s
Itération 186, time: 0.000910s
Itération 185, time: 0.001007s
Itération 184, time: 0.001014s
Itération 183, time: 0.001060s
Itération 182, time: 0.001054s
Itération 181, time: 0.001038s
Itération 180, time: 0.001027s
Itération 179, time: 0.000920s
Itération 178, time: 0.001017s
Itération 177, time: 0.001152s
Itération 176, time: 0.001081s
Itération 175, time: 0.000902s
Itération 174, time: 0.000972s
Itération 173, time: 0.000909s
Itération 172, time: 0.000933s
Itération 171, time: 0.000903s
Itération 170, time: 0.000809s
Itération 169, time: 0.001081s
Itération 168, time: 0.001040s
Itération 167, time: 0.000989s
Itération 166, time: 0.000889s
Itération 165, time: 0.000996s
Itération 164, time: 0.000888s
Itération 163, time: 0.000787s
Itération 162, time: 0.000933s
Itération 161, time: 0.000759s
Itération 160, time: 0.000862s
Itération 159, time: 0.000844s
Itération 158, time: 0.000823s
Itération 157, time: 0.000841s
Itération 156, time: 0.000842s
Itération 155, time: 0.000896s
